type,name,size,i,time,verification
sorting,nativo,1,0,0.000002,1
sorting,nativo,1,1,0.000000,1
sorting,nativo,1,2,0.000018,1
sorting,nativo,1,3,0.000001,1
sorting,nativo,1,4,0.000001,1
sorting,nativo,1,5,0.000000,1
sorting,nativo,1,6,0.000001,1
sorting,nativo,1,7,0.000000,1
sorting,nativo,1,8,0.000001,1
sorting,nativo,1,9,0.000001,1
sorting,nativo,1,10,0.000001,1
sorting,nativo,1,11,0.000000,1
sorting,nativo,1,12,0.000000,1
sorting,nativo,1,13,0.000000,1
sorting,nativo,1,14,0.000000,1
sorting,nativo,1,15,0.000000,1
sorting,nativo,1,16,0.000000,1
sorting,nativo,1,17,0.000000,1
sorting,nativo,1,18,0.000001,1
sorting,nativo,1,19,0.000000,1
sorting,nativo,1,20,0.000000,1
sorting,nativo,1,21,0.000000,1
sorting,nativo,1,22,0.000000,1
sorting,nativo,1,23,0.000000,1
sorting,nativo,1,24,0.000001,1
sorting,nativo,1,25,0.000001,1
sorting,nativo,1,26,0.000001,1
sorting,nativo,1,27,0.000001,1
sorting,nativo,1,28,0.000001,1
sorting,nativo,1,29,0.000001,1
sorting,nativo,1,30,0.000000,1
sorting,nativo,1,31,0.000001,1
sorting,nativo,1,32,0.000001,1
sorting,nativo,1,33,0.000001,1
sorting,nativo,1,34,0.000001,1
sorting,nativo,1,35,0.000001,1
sorting,nativo,1,36,0.000000,1
sorting,nativo,1,37,0.000000,1
sorting,nativo,1,38,0.000000,1
sorting,nativo,1,39,0.000000,1
sorting,nativo,2,0,0.000000,1
sorting,nativo,2,1,0.000001,1
sorting,nativo,2,2,0.000001,1
sorting,nativo,2,3,0.000001,1
sorting,nativo,2,4,0.000000,1
sorting,nativo,2,5,0.000000,1
sorting,nativo,2,6,0.000000,1
sorting,nativo,2,7,0.000000,1
sorting,nativo,2,8,0.000001,1
sorting,nativo,2,9,0.000001,1
sorting,nativo,2,10,0.000000,1
sorting,nativo,2,11,0.000000,1
sorting,nativo,2,12,0.000001,1
sorting,nativo,2,13,0.000000,1
sorting,nativo,2,14,0.000000,1
sorting,nativo,2,15,0.000001,1
sorting,nativo,2,16,0.000001,1
sorting,nativo,2,17,0.000000,1
sorting,nativo,2,18,0.000001,1
sorting,nativo,2,19,0.000000,1
sorting,nativo,2,20,0.000000,1
sorting,nativo,2,21,0.000000,1
sorting,nativo,2,22,0.000000,1
sorting,nativo,2,23,0.000000,1
sorting,nativo,2,24,0.000000,1
sorting,nativo,2,25,0.000000,1
sorting,nativo,2,26,0.000000,1
sorting,nativo,2,27,0.000000,1
sorting,nativo,2,28,0.000000,1
sorting,nativo,2,29,0.000000,1
sorting,nativo,2,30,0.000000,1
sorting,nativo,2,31,0.000000,1
sorting,nativo,2,32,0.000000,1
sorting,nativo,2,33,0.000000,1
sorting,nativo,2,34,0.000000,1
sorting,nativo,2,35,0.000000,1
sorting,nativo,2,36,0.000000,1
sorting,nativo,2,37,0.000000,1
