type,name,size,i,time,verification
sorting,mergesort,1,0,0.000003,1
sorting,mergesort,1,1,0.000001,1
sorting,mergesort,1,2,0.000001,1
sorting,mergesort,1,3,0.000001,1
sorting,mergesort,1,4,0.000001,1
sorting,mergesort,1,5,0.000001,1
sorting,mergesort,1,6,0.000001,1
sorting,mergesort,1,7,0.000001,1
sorting,mergesort,1,8,0.000001,1
sorting,mergesort,1,9,0.000001,1
sorting,mergesort,1,10,0.000001,1
sorting,mergesort,1,11,0.000001,1
sorting,mergesort,2,0,0.000010,1
sorting,mergesort,2,1,0.000006,1
sorting,mergesort,2,2,0.000006,1
sorting,mergesort,2,3,0.000005,1
sorting,mergesort,2,4,0.000005,1
sorting,mergesort,2,5,0.000005,1
sorting,mergesort,2,6,0.000005,1
sorting,mergesort,2,7,0.000006,1
sorting,mergesort,2,8,0.000005,1
sorting,mergesort,2,9,0.000005,1
sorting,mergesort,2,10,0.000004,1
sorting,mergesort,2,11,0.000005,1
sorting,mergesort,4,0,0.000014,0
sorting,mergesort,4,1,0.000013,0
sorting,mergesort,4,2,0.000013,0
sorting,mergesort,4,3,0.000012,1
sorting,mergesort,4,4,0.000012,1
sorting,mergesort,4,5,0.000012,1
sorting,mergesort,4,6,0.000012,1
sorting,mergesort,4,7,0.000012,1
sorting,mergesort,4,8,0.000012,1
sorting,mergesort,4,9,0.000012,1
sorting,mergesort,4,10,0.000011,1
sorting,mergesort,4,11,0.000012,1
sorting,mergesort,8,0,0.000030,0
sorting,mergesort,8,1,0.000041,0
sorting,mergesort,8,2,0.000054,0
sorting,mergesort,8,3,0.000052,1
sorting,mergesort,8,4,0.000051,1
sorting,mergesort,8,5,0.000052,1
sorting,mergesort,8,6,0.000052,1
sorting,mergesort,8,7,0.000052,1
sorting,mergesort,8,8,0.000051,1
sorting,mergesort,8,9,0.000051,1
sorting,mergesort,8,10,0.000051,1
sorting,mergesort,8,11,0.000052,1
sorting,mergesort,16,0,0.000078,0
sorting,mergesort,16,1,0.000096,0
sorting,mergesort,16,2,0.000097,0
sorting,mergesort,16,3,0.000081,1
sorting,mergesort,16,4,0.000092,1
sorting,mergesort,16,5,0.000087,1
sorting,mergesort,16,6,0.000088,1
sorting,mergesort,16,7,0.000088,1
sorting,mergesort,16,8,0.000076,1
sorting,mergesort,16,9,0.000086,1
sorting,mergesort,16,10,0.000077,1
sorting,mergesort,16,11,0.000087,1
sorting,mergesort,32,0,0.000167,0
sorting,mergesort,32,1,0.000166,0
sorting,mergesort,32,2,0.000165,0
sorting,mergesort,32,3,0.000159,1
sorting,mergesort,32,4,0.000160,1
sorting,mergesort,32,5,0.000159,1
sorting,mergesort,32,6,0.000159,1
sorting,mergesort,32,7,0.000160,1
sorting,mergesort,32,8,0.000170,1
sorting,mergesort,32,9,0.000150,1
sorting,mergesort,32,10,0.000150,1
sorting,mergesort,32,11,0.000150,1
sorting,mergesort,64,0,0.000367,0
sorting,mergesort,64,1,0.000370,0
sorting,mergesort,64,2,0.000392,0
sorting,mergesort,64,3,0.000371,0
sorting,mergesort,64,4,0.000367,0
sorting,mergesort,64,5,0.000355,0
sorting,mergesort,64,6,0.000339,1
sorting,mergesort,64,7,0.000336,1
sorting,mergesort,64,8,0.000338,1
sorting,mergesort,64,9,0.000336,1
sorting,mergesort,64,10,0.000313,1
sorting,mergesort,64,11,0.000449,1
sorting,mergesort,128,0,0.000834,0
sorting,mergesort,128,1,0.000820,0
sorting,mergesort,128,2,0.000831,0
sorting,mergesort,128,3,0.000778,0
sorting,mergesort,128,4,0.000771,0
sorting,mergesort,128,5,0.000776,0
sorting,mergesort,128,6,0.000704,1
sorting,mergesort,128,7,0.000689,1
sorting,mergesort,128,8,0.000689,1
sorting,mergesort,128,9,0.000688,1
sorting,mergesort,128,10,0.000689,1
sorting,mergesort,128,11,0.000722,1
sorting,mergesort,256,0,0.001762,0
sorting,mergesort,256,1,0.001839,0
sorting,mergesort,256,2,0.001935,0
sorting,mergesort,256,3,0.001656,0
sorting,mergesort,256,4,0.001622,0
sorting,mergesort,256,5,0.001653,0
sorting,mergesort,256,6,0.001429,1
sorting,mergesort,256,7,0.001417,1
sorting,mergesort,256,8,0.001431,1
sorting,mergesort,256,9,0.001377,1
sorting,mergesort,256,10,0.001397,1
sorting,mergesort,256,11,0.001306,1
sorting,mergesort,512,0,0.003389,0
sorting,mergesort,512,1,0.004016,0
sorting,mergesort,512,2,0.003339,0
sorting,mergesort,512,3,0.003871,0
sorting,mergesort,512,4,0.003134,0
sorting,mergesort,512,5,0.003195,0
sorting,mergesort,512,6,0.003004,0
sorting,mergesort,512,7,0.002843,0
sorting,mergesort,512,8,0.002771,0
sorting,mergesort,512,9,0.002623,1
sorting,mergesort,512,10,0.002631,1
sorting,mergesort,512,11,0.002490,1
sorting,mergesort,1024,0,0.007047,0
sorting,mergesort,1024,1,0.006116,0
sorting,mergesort,1024,2,0.005996,0
sorting,mergesort,1024,3,0.005892,0
sorting,mergesort,1024,4,0.006329,0
sorting,mergesort,1024,5,0.005641,0
sorting,mergesort,1024,6,0.005340,0
sorting,mergesort,1024,7,0.005295,0
sorting,mergesort,1024,8,0.005155,0
sorting,mergesort,1024,9,0.004892,1
sorting,mergesort,1024,10,0.004540,1
sorting,mergesort,1024,11,0.004417,1
sorting,mergesort,2048,0,0.010774,0
sorting,mergesort,2048,1,0.011042,0
sorting,mergesort,2048,2,0.010130,0
sorting,mergesort,2048,3,0.009799,0
sorting,mergesort,2048,4,0.010230,0
sorting,mergesort,2048,5,0.009334,0
sorting,mergesort,2048,6,0.009182,0
sorting,mergesort,2048,7,0.010051,0
sorting,mergesort,2048,8,0.009295,0
sorting,mergesort,2048,9,0.007912,1
sorting,mergesort,2048,10,0.008312,1
sorting,mergesort,2048,11,0.007980,1
sorting,mergesort,4096,0,0.020923,0
sorting,mergesort,4096,1,0.020137,0
sorting,mergesort,4096,2,0.020581,0
sorting,mergesort,4096,3,0.020750,0
sorting,mergesort,4096,4,0.020670,0
sorting,mergesort,4096,5,0.020094,0
sorting,mergesort,4096,6,0.020557,0
sorting,mergesort,4096,7,0.020646,0
sorting,mergesort,4096,8,0.019714,0
sorting,mergesort,4096,9,0.018429,0
sorting,mergesort,4096,10,0.019193,0
sorting,mergesort,4096,11,0.018448,0
sorting,mergesort,8192,0,0.043089,0
sorting,mergesort,8192,1,0.043830,0
sorting,mergesort,8192,2,0.043579,0
sorting,mergesort,8192,3,0.043636,0
sorting,mergesort,8192,4,0.043444,0
sorting,mergesort,8192,5,0.043416,0
sorting,mergesort,8192,6,0.042631,0
sorting,mergesort,8192,7,0.043036,0
sorting,mergesort,8192,8,0.042925,0
sorting,mergesort,8192,9,0.041448,0
sorting,mergesort,8192,10,0.041532,0
sorting,mergesort,8192,11,0.041300,0
sorting,quicksort,1,0,0.000002,1
sorting,quicksort,1,1,0.000001,1
sorting,quicksort,1,2,0.000001,1
sorting,quicksort,1,3,0.000001,1
sorting,quicksort,1,4,0.000001,1
sorting,quicksort,1,5,0.000001,1
sorting,quicksort,1,6,0.000000,1
sorting,quicksort,1,7,0.000001,1
sorting,quicksort,1,8,0.000001,1
sorting,quicksort,1,9,0.000010,1
sorting,quicksort,1,10,0.000001,1
sorting,quicksort,1,11,0.000000,1
sorting,quicksort,2,0,0.000005,1
sorting,quicksort,2,1,0.000004,1
sorting,quicksort,2,2,0.000003,1
sorting,quicksort,2,3,0.000004,1
sorting,quicksort,2,4,0.000004,1
sorting,quicksort,2,5,0.000003,1
sorting,quicksort,2,6,0.000003,1
sorting,quicksort,2,7,0.000004,1
sorting,quicksort,2,8,0.000004,1
sorting,quicksort,2,9,0.000003,1
sorting,quicksort,2,10,0.000003,1
sorting,quicksort,2,11,0.000003,1
sorting,quicksort,4,0,0.000007,1
sorting,quicksort,4,1,0.000006,1
sorting,quicksort,4,2,0.000006,1
sorting,quicksort,4,3,0.000004,1
sorting,quicksort,4,4,0.000005,1
sorting,quicksort,4,5,0.000004,1
sorting,quicksort,4,6,0.000004,1
sorting,quicksort,4,7,0.000005,1
sorting,quicksort,4,8,0.000004,1
sorting,quicksort,4,9,0.000004,1
sorting,quicksort,4,10,0.000004,1
sorting,quicksort,4,11,0.000005,1
sorting,quicksort,8,0,0.000011,1
sorting,quicksort,8,1,0.000011,1
sorting,quicksort,8,2,0.000011,1
sorting,quicksort,8,3,0.000007,1
sorting,quicksort,8,4,0.000007,1
sorting,quicksort,8,5,0.000007,1
sorting,quicksort,8,6,0.000007,1
sorting,quicksort,8,7,0.000007,1
sorting,quicksort,8,8,0.000007,1
sorting,quicksort,8,9,0.000007,1
sorting,quicksort,8,10,0.000007,1
sorting,quicksort,8,11,0.000007,1
sorting,quicksort,16,0,0.000025,1
sorting,quicksort,16,1,0.000024,1
sorting,quicksort,16,2,0.000021,1
sorting,quicksort,16,3,0.000012,1
sorting,quicksort,16,4,0.000012,1
sorting,quicksort,16,5,0.000012,1
sorting,quicksort,16,6,0.000011,1
sorting,quicksort,16,7,0.000012,1
sorting,quicksort,16,8,0.000012,1
sorting,quicksort,16,9,0.000012,1
sorting,quicksort,16,10,0.000012,1
sorting,quicksort,16,11,0.000012,1
sorting,quicksort,32,0,0.000055,1
sorting,quicksort,32,1,0.000048,1
sorting,quicksort,32,2,0.000054,1
sorting,quicksort,32,3,0.000022,1
sorting,quicksort,32,4,0.000022,1
sorting,quicksort,32,5,0.000022,1
sorting,quicksort,32,6,0.000022,1
sorting,quicksort,32,7,0.000022,1
sorting,quicksort,32,8,0.000022,1
sorting,quicksort,32,9,0.000022,1
sorting,quicksort,32,10,0.000022,1
sorting,quicksort,32,11,0.000022,1
sorting,quicksort,64,0,0.000089,1
sorting,quicksort,64,1,0.000086,1
sorting,quicksort,64,2,0.000087,1
sorting,quicksort,64,3,0.000050,1
sorting,quicksort,64,4,0.000051,1
sorting,quicksort,64,5,0.000052,1
sorting,quicksort,64,6,0.000042,1
sorting,quicksort,64,7,0.000042,1
sorting,quicksort,64,8,0.000041,1
sorting,quicksort,64,9,0.000042,1
sorting,quicksort,64,10,0.000042,1
sorting,quicksort,64,11,0.000041,1
sorting,quicksort,128,0,0.000194,1
sorting,quicksort,128,1,0.000200,1
sorting,quicksort,128,2,0.000184,1
sorting,quicksort,128,3,0.000157,1
sorting,quicksort,128,4,0.000143,1
sorting,quicksort,128,5,0.000148,1
sorting,quicksort,128,6,0.000082,1
sorting,quicksort,128,7,0.000094,1
sorting,quicksort,128,8,0.000076,1
sorting,quicksort,128,9,0.000076,1
sorting,quicksort,128,10,0.000077,1
sorting,quicksort,128,11,0.000076,1
sorting,quicksort,256,0,0.000367,1
sorting,quicksort,256,1,0.000303,1
sorting,quicksort,256,2,0.000401,1
sorting,quicksort,256,3,0.000256,1
sorting,quicksort,256,4,0.000261,1
sorting,quicksort,256,5,0.000275,1
sorting,quicksort,256,6,0.000155,1
sorting,quicksort,256,7,0.000155,1
sorting,quicksort,256,8,0.000155,1
sorting,quicksort,256,9,0.000154,1
sorting,quicksort,256,10,0.000153,1
sorting,quicksort,256,11,0.000153,1
